Token,Language,POS,NE,Lemma,Anglicism
limitar,,VERB,O,limitar,
ven,,VERB,O,ver,
contactos,,NOUN,O,contacto,
recomendable,,ADJ,O,recomendable,
desactivar,,VERB,O,desactivar,
funciones,,NOUN,O,funcionar,
ubicación,,NOUN,O,ubicación,
geolocalización,,NOUN,O,geolocalización,
hora,,NOUN,O,hora,
compartir,,VERB,O,compartir,
imágenes,,NOUN,O,imagen,
información,,NOUN,O,información,
vida,,NOUN,O,vida,
privada,,ADJ,O,privar,
pequeño,,ADJ,O,pequeño,
ciencia,,NOUN,O,ciencia,
datos,,NOUN,O,dato,
comedia,,NOUN,O,comediar,
genera,,VERB,O,generar,
polémica,,NOUN,O,polémico,
muestra,,VERB,O,mostrar,
actualidad,,NOUN,O,actualidad,
abrió,,VERB,O,abrir,
debates,,NOUN,O,debatir,
disparó,,VERB,O,disparar,
críticas,,NOUN,O,crítico,
regresado,,VERB,O,regresar,
dando,,VERB,O,dar,
hablar,,VERB,O,hablar,
repentinamente,,ADJ,O,repentinamente,
explosión,,NOUN,O,explosión,
misteriosa,,ADJ,O,misterioso,
padre,,NOUN,O,padre,
fascismo,,NOUN,O,fascismo,
vuelve,,VERB,O,volver,
país,,NOUN,O,país,
años,,NOUN,O,año,
muerte,,NOUN,O,muerte,
fusilamiento,,NOUN,O,fusilamiento,
abril,,NOUN,O,abril,
años,,NOUN,O,año,
film,,NOUN,O,film,
parecido,,ADJ,O,parecer,
pinta,,VERB,O,pintar,
retrato,,NOUN,O,retratar,
terrible,,ADJ,O,terrible,
actual,,ADJ,O,actual,
regresa,,VERB,O,regresar,
pleno,,ADJ,O,pleno,
verano,,NOUN,O,verano,
2017,,NOUN,O,2017,
caótica,,ADJ,O,caótico,
interpretado,,ADJ,O,interpretar,
actor,,NOUN,O,actor,
puesto,,VERB,O,poner,
banquillo,,NOUN,O,banquillo,
denostado,,ADJ,O,denostar,
significó,,VERB,O,significar,
historia,,NOUN,O,historia,
italiana,,ADJ,O,italiano,
dictadura,,NOUN,O,dictadura,
fascista,,ADJ,O,fascista,
derrota,,NOUN,O,derrotar,
leyes,,NOUN,O,ley,
raciales,,ADJ,O,racial,
judíos,,NOUN,O,judío,
fenómeno,,NOUN,O,fenómeno,
televisivo,,ADJ,O,televisivo,
torna,,VERB,O,tornar,
divo,,NOUN,O,divo,
denuncia,,VERB,O,denunciar,
sometimiento,,NOUN,O,sometimiento,
italianos,,NOUN,O,italiano,
caja,,NOUN,O,caja,
boba,,ADJ,O,bobo,
rompe,,VERB,O,romper,
récords,,NOUN,O,récord,
audiencia,,NOUN,O,audiencia,
mayoría,,NOUN,O,mayoría,
gente,,NOUN,O,gente,
increparlo,,NOUN,O,increparlo,
calle,,NOUN,O,callar,
cámaras,,NOUN,O,cámara,
reales,,ADJ,O,real,
escenas,,NOUN,O,escena,
saca,,VERB,O,sacar,
selfies,,NOUN,O,selfies,
saluda,,VERB,O,saludar,
brazo,,NOUN,O,brazo,
alto,,ADJ,O,alto,
viva,,ADJ,O,vivo,
pueblo,,NOUN,O,poblar,
italiano,,NOUN,O,italiano,
líderes,,NOUN,O,líder,
extraño,,ADJ,O,extrañar,
hombre,,NOUN,O,hombre,
pelado,,ADJ,O,pelar,
parecer,,NOUN,O,parecer,
disfrazado,,ADJ,O,disfrazar,
ríen,,VERB,O,reír,
proclama,,VERB,O,proclamar,
correctas,,ADJ,O,correcto,
atacar,,VERB,O,atacar,
democracia,,NOUN,O,democracia,
putrefacción,,NOUN,O,putrefacción,
inmigrantes,,NOUN,O,inmigrante,
gays,,NOUN,O,gay,
gente,,NOUN,O,gente,
izquierda,,NOUN,O,izquierdo,
comedia,,NOUN,O,comediar,
atrapa,,VERB,O,atrapar,
audiencia,,NOUN,O,audiencia,
comparten,,VERB,O,compartir,
ideas,,NOUN,O,ideo,
señala,,VERB,O,señalar,
males,,NOUN,O,mal,
actual,,ADJ,O,actual,
país,,NOUN,O,país,
líder,,NOUN,O,líder,
fuerte,,ADJ,O,fuerte,
mando,,NOUN,O,mandar,
económica,,ADJ,O,económico,
deriva,,NOUN,O,derivar,
marcado,,ADJ,O,marcar,
escándalos,,NOUN,O,escándalo,
corrupción,,NOUN,O,corrupción,
continuos,,ADJ,O,continuo,
principio,,NOUN,O,principiar,
reír,,VERB,O,reír,
termina,,VERB,O,terminar,
drama,,NOUN,O,drama,
grotesco,,ADJ,O,grotesco,
estrenó,,VERB,O,estrenar,
semana,,NOUN,O,semana,
momentos,,NOUN,O,momento,
preocupación,,NOUN,O,preocupación,
auge,,NOUN,O,auge,
grupos,,NOUN,O,grupo,
extrema,,ADJ,O,extremo,
derecha,,NOUN,O,derecho,
neofascistas,,ADJ,O,neofascista,
vista,,NOUN,O,vestir,
elecciones,,NOUN,O,elección,
renovar,,VERB,O,renovar,
marzo,,NOUN,O,marzo,
sondeos,,NOUN,O,sondeo,
ganará,,VERB,O,ganar,
alianza,,NOUN,O,alianza,
derecha,,NOUN,O,derecho,
auspiciada,,ADJ,O,auspiciar,
ministro,,NOUN,O,ministro,
participa,,VERB,O,participar,
xenófoba,,ADJ,O,xenófobo,
números,,NOUN,O,número,
necesarios,,ADJ,O,necesario,
formar,,VERB,O,formar,
gobierno,,NOUN,O,gobernar,
estrenó,,VERB,O,estrenar,
quedara,,VERB,O,quedar,
conmovida,,ADJ,O,conmover,
ataque,,NOUN,O,atacar,
xenófobo,,ADJ,O,xenófobo,
ciudad,,NOUN,O,ciudad,
italiano,,NOUN,O,italiano,
años,,NOUN,O,año,
sábado,,NOUN,O,sábado,
disparó,,VERB,O,disparar,
auto,,NOUN,O,auto,
